Stock,Direction,Score,TrendQuality,Smoothness,EMADiscipline,MaxDrawdown,CrossCount,EMA_Slope%,Trend%,BarsAboveEMA,VolRatio,EMA_Efficiency
SHREECEM.NS,SIDEWAYS,40.91,92.0,72.0,45.0,99.25,0.54,5,-0.09,0.08,36,2.44
SHRIRAMFIN.NS,SIDEWAYS,41.74,101.0,76.0,40.0,98.69,1.25,3,-0.48,-0.56,38,1.38
SOLARINDS.NS,SIDEWAYS,-26.62,25.0,30.0,40.0,98.35,3.49,9,-0.42,-0.61,15,1.89
SONACOMS.NS,SIDEWAYS,-13.41,40.0,60.0,45.0,98.78,2.11,13,0.25,-0.21,30,2.11
SUZLON.NS,SIDEWAYS,-13.16,41.0,46.0,25.0,97.75,4.18,6,-1.1,-1.35,23,2.27
SUNPHARMA.NS,SIDEWAYS,-10.75,49.0,64.0,50.0,99.29,1.41,13,-0.27,-0.26,32,1.72
SUPREMEIND.NS,SIDEWAYS,-9.54,64.0,64.0,50.0,99.04,2.85,10,-0.36,-0.49,32,1.27
SWIGGY.NS,SIDEWAYS,-71.76,49.0,54.0,40.0,97.59,11.03,9,0.26,-0.04,27,1.49
TATACONSUM.NS,SIDEWAYS,-18.8,42.0,42.0,40.0,99.34,3.64,8,0.18,0.0,21,0.77
TATAELXSI.NS,SIDEWAYS,-24.88,31.0,36.0,45.0,98.77,3.05,10,-0.14,-0.28,18,1.63
TATAPOWER.NS,SIDEWAYS,-28.26,37.0,32.0,55.0,98.75,3.83,10,-0.44,-0.48,16,2.02
TATASTEEL.NS,SIDEWAYS,-31.42,63.0,48.0,60.0,97.35,5.34,9,-1.31,-1.41,24,0.92
TCS.NS,SIDEWAYS,-34.31,54.0,74.0,35.0,98.66,6.2,11,0.17,-0.12,37,1.92
TECHM.NS,SIDEWAYS,-12.76,53.0,58.0,50.0,99.16,2.71,11,0.18,-0.07,29,1.29
TIINDIA.NS,BEAR,-21.52,22.0,12.0,20.0,96.29,5.13,2,-1.81,-2.21,6,1.58
TITAN.NS,SIDEWAYS,16.35,97.0,72.0,70.0,97.96,3.84,9,0.6,0.76,36,1.13
TMPV.NS,SIDEWAYS,-106.9,42.0,52.0,40.0,99.31,14.35,10,-0.15,-0.27,26,2.27
TORNTPHARM.NS,SIDEWAYS,-23.44,49.0,54.0,45.0,99.16,4.08,10,0.02,-0.22,27,1.67
TRENT.NS,SIDEWAYS,15.38,75.0,60.0,40.0,97.51,2.01,5,-1.14,-1.2,30,0.94
TVSMOTOR.NS,SIDEWAYS,-7.96,54.0,54.0,35.0,98.03,3.27,7,-0.14,-0.6,27,1.18
ULTRACEMCO.NS,SIDEWAYS,-1.65,56.0,56.0,65.0,99.02,1.17,13,0.1,0.33,28,2.3
UNITDSPR.NS,BULL,47.72,98.0,88.0,40.0,98.77,1.9,6,0.6,0.71,44,1.57
UNIONBANK.NS,SIDEWAYS,-0.96,63.0,58.0,60.0,99.52,1.61,11,-0.04,-0.04,29,2.72
UNOMINDA.NS,SIDEWAYS,-64.49,16.0,56.0,55.0,98.92,3.48,19,-0.06,-0.29,28,0.79
UPL.NS,SIDEWAYS,-6.83,70.0,60.0,40.0,99.28,4.84,6,-0.19,-0.19,30,2.32
VBL.NS,SIDEWAYS,-93.84,16.0,46.0,45.0,98.6,8.98,15,-0.18,-0.02,23,1.33
VEDL.NS,SIDEWAYS,-80.13,40.0,60.0,40.0,98.96,10.55,12,0.05,0.14,30,2.12
VOLTAS.NS,SIDEWAYS,-63.45,33.0,58.0,50.0,99.14,7.03,15,0.13,0.14,29,2.0
WAAREEENER.NS,SIDEWAYS,-53.22,4.0,44.0,35.0,98.78,3.83,15,-0.51,-0.53,22,2.63
WIPRO.NS,SIDEWAYS,-37.95,51.0,46.0,40.0,99.16,7.16,7,-0.09,-0.22,23,1.88
ZYDUSLIFE.NS,SIDEWAYS,-37.71,8.0,38.0,40.0,99.39,2.33,14,-0.21,-0.28,19,2.61
